WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,,,,,,,,,,,,,,,,
25,25,-1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"45,1,-1","31,0,62","27,0,-1","29,0,51","45,0,-1","45,0,48","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,48","45,0,-1","45,0,-1","45,0,-1","45,0,48","45,0,-1","45,0,-1","45,0,51","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,62","45,2,-1"
"45,1,-1","31,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","34,-1,-1","45,2,-1"
"45,1,-1","31,-1,-1","32,63,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,63,-1","34,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","32,63,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,-1,-1","32,63,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,72,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","38,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"27,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"27,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"27,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","27,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","27,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","27,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","27,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","45,2,-1"
"45,1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","20,-1,-1","27,2,-1"
"45,1,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,0,-1","45,2,-1"
,,,,,,,,,,,,,,,,,,,,,,,,
ShapeSize,0,,,,,,,,,,,,,,,,,,,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,,,,,,,,,,,,,,,,,,,
